# benchmark allocator elapsed rss user sys page-faults page-reclaims
cfrac       dh    19.23 9396 19.23 0.00 0 1527
cfrac       ff    14.72 250048 12.64 2.03 0 669398
cfrac       fg    17.83 113792 17.59 0.23 0 33208
cfrac       gd    19.03 249472 18.83 0.19 0 61618
cfrac       hd    11.16 5376 11.15 0.00 0 568
cfrac       hm    18.20 7168 18.19 0.01 0 1109
cfrac       hml   12.86 5120 12.84 0.01 0 576
cfrac       iso   18.52 34304 18.26 0.25 0 8806
cfrac       je    08.99 5504 8.98 0.01 0 498
cfrac       lf    11.08 4224 11.07 0.00 0 701
cfrac       lp    09.78 3456 9.77 0.00 0 468
cfrac       lt    09.30 5120 9.30 0.00 0 520
cfrac       mesh  09.88 3452 9.86 0.01 0 1030
cfrac       mi    09.05 4240 9.04 0.00 0 202
cfrac       mi-dbg 1:07.37 4500 67.34 0.00 0 203
cfrac       mi-sec 11.42 3584 11.42 0.00 0 536
cfrac       mi2   09.12 4248 9.11 0.00 0 306
cfrac       mi2-dbg 1:21.96 4504 81.94 0.00 0 374
cfrac       mi2-sec 14.58 3584 14.57 0.01 0 523
cfrac       mi3   08.99 3456 8.99 0.00 0 445
cfrac       mi3-dbg 1:12.15 3712 72.12 0.01 0 892
cfrac       mi3-sec 11.93 3968 11.87 0.04 0 575
cfrac       mng   13.44 2944 13.40 0.03 0 7312
cfrac       nomesh 09.76 3328 9.75 0.00 0 428
cfrac       om    26.22 2816 26.16 0.05 0 435
cfrac       rp    08.84 3840 8.83 0.01 0 752
cfrac       scudo 13.31 3584 13.31 0.00 0 568
cfrac       sg    10.10 3200 10.10 0.00 0 446
cfrac       sm    15.30 5632 15.30 0.00 0 693
cfrac       sn    08.72 3328 8.72 0.00 0 428
cfrac       sn-dbg 36.85 3584 36.18 0.66 0 439
cfrac       sn-sec 09.47 3584 9.46 0.00 0 491
cfrac       sys   10.41 3200 10.41 0.00 0 438
cfrac       tbb   11.05 5248 11.05 0.00 0 530
cfrac       tc    09.00 8832 8.99 0.00 0 1391
cfrac       tcg   11.62 9344 11.61 0.00 0 1328
cfrac       yal   13.64 2944 13.63 0.00 0 454
